         462088 function calls (461222 primitive calls) in 20.483 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.018    0.018 zipfile.py:420(_ZipDecrypter)
        2    0.000    0.000    0.000    0.000 {cStringIO.StringIO}
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1467(_get)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:129(get_supported_platform)
        2    0.000    0.000    0.001    0.000 zipfile.py:800(__exit__)
        1    0.000    0.000    0.000    0.000 colorsys.py:17(<module>)
        1    0.000    0.000    0.002    0.002 neopixel.py:108(begin)
        1    0.000    0.000    0.000    0.000 {posix.uname}
        1    0.000    0.000    0.000    0.000 urllib.py:616(FancyURLopener)
        1    0.000    0.000    0.000    0.000 charset.py:156(Charset)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1501(_has)
        1    0.000    0.000    0.000    0.000 img.py:45(IColor)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1610(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 tempfile.py:372(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 img.py:4(Image)
        1    0.000    0.000    0.000    0.000 feedparser.py:43(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1480(__init__)
        2    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        1    0.000    0.000    0.000    0.000 _parseaddr.py:172(AddrlistClass)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1382(__init__)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1402(get_metadata)
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        1    0.000    0.000    0.017    0.017 random.py:91(__init__)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:217(register_loader_type)
        1    0.000    0.000    0.000    0.000 platform.py:388(_popen)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1498(DefaultProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2722(Requirement)
        1    0.000    0.000    0.000    0.000 urllib.py:860(ftpwrapper)
        8    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        2    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 io.py:69(IOBase)
        1    0.000    0.000    0.975    0.975 _rpi_ws281x.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 random.py:655(WichmannHill)
        1    0.000    0.000    0.000    0.000 plistlib.py:365(Data)
       10    0.000    0.000    0.000    0.000 posixpath.py:51(normcase)
        1    0.000    0.000    0.000    0.000 ssl.py:297(_ASN1Object)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1412(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        2    0.000    0.000    0.000    0.000 zipfile.py:1257(__del__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1766(_resource_to_zip)
        8    0.000    0.000    0.000    0.000 {imp.release_lock}
        8    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1763(_eager_to_zip)
        2    0.000    0.000    0.000    0.000 stat.py:49(S_ISREG)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 plistlib.py:151(DumbXMLWriter)
        1    0.000    0.000    0.000    0.000 zipfile.py:262(ZipInfo)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:391(IResourceProvider)
        3    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        8    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 plistlib.py:331(Plist)
        1    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1523(EmptyProvider)
        1    0.000    0.000    0.000    0.000 {posix.getcwd}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:367(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 io.py:76(BufferedIOBase)
        3    0.000    0.000    0.000    0.000 {_rpi_ws281x.ws2811_channel_get}
        5    0.000    0.000    0.000    0.000 pkg_resources.py:1787(has_metadata)
        1    0.000    0.000    0.000    0.000 random.py:805(SystemRandom)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1842(register_finder)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:452(AddressList)
        2    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 parser.py:17(Parser)
